case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,50.0,1.0,-20,2.2987644485212694e-05,36.72836394252599
fixed-00000000,50.0,1.0,-19,1.9658814800604527e-05,35.76724513732081
fixed-00000000,50.0,1.0,-18,1.9230731556418545e-05,34.783202072369875
fixed-00000000,50.0,1.0,-17,2.093156315001132e-05,33.77419865672606
fixed-00000000,50.0,1.0,-16,2.545362974977453e-05,32.73789413681997
fixed-00000000,50.0,1.0,-15,3.0152247224689334e-05,31.671575132118377
fixed-00000000,50.0,1.0,-14,2.4481895661952823e-05,30.572066870934492
fixed-00000000,50.0,1.0,-13,4.1561212825591146e-05,29.435615277774055
fixed-00000000,50.0,1.0,-12,5.01428003216856e-05,28.25772728984554
fixed-00000000,50.0,1.0,-11,2.8283295886892356e-05,27.03294976457456
fixed-00000000,50.0,1.0,-10,8.470321254688606e-05,25.75455539976224
fixed-00000000,50.0,1.0,-9,8.545756627524252e-05,24.41408289662344
fixed-00000000,50.0,1.0,-8,3.694799820469802e-05,23.00063908061179
fixed-00000000,50.0,1.0,-7,0.00021912222247946633,21.49979251955007
fixed-00000000,50.0,1.0,-6,0.0001477409828423242,19.891721918786743
fixed-00000000,50.0,1.0,-5,0.00010895750062213837,18.147895381206368
fixed-00000000,50.0,1.0,-4,0.0007854404519572367,16.224541946816103
fixed-00000000,50.0,1.0,-3,0.0002652790849087377,14.048051607021762
fixed-00000000,50.0,1.0,-2,0.001288244758084181,11.47520357492894
fixed-00000000,50.0,1.0,-1,0.009168294316223222,8.138281537089384
fixed-00000000,50.0,1.0,0,0.9142142434929552,0.9999999999999005
fixed-00000000,50.0,1.0,1,0.0,0.0
fixed-00000000,50.0,1.0,2,0.0,0.0
fixed-00000000,50.0,1.0,3,0.0,0.0
fixed-00000000,50.0,1.0,4,0.0,0.0
fixed-00000000,50.0,1.0,5,0.0,0.0
fixed-00000000,50.0,1.0,6,0.0,0.0
fixed-00000000,50.0,1.0,7,0.0,0.0
fixed-00000000,50.0,1.0,8,0.0,0.0
fixed-00000000,50.0,1.0,9,0.0,0.0
fixed-00000000,50.0,1.0,10,0.0,0.0
fixed-00000000,50.0,1.0,11,0.0,0.0
fixed-00000000,50.0,1.0,12,0.0,0.0
fixed-00000000,50.0,1.0,13,0.0,0.0
fixed-00000000,50.0,1.0,14,0.0,0.0
fixed-00000000,50.0,1.0,15,0.0,0.0
fixed-00000000,50.0,1.0,16,0.0,0.0
fixed-00000000,50.0,1.0,17,0.0,0.0
fixed-00000000,50.0,1.0,18,0.0,0.0
fixed-00000000,50.0,1.0,19,0.0,0.0
fixed-00000000,50.0,1.0,20,0.0,0.0
fixed-00000002,150.0,1.0,-20,0.00013219844360722966,20.976868904814538
fixed-00000002,150.0,1.0,-19,0.0001441676987291365,20.441189450923062
fixed-00000002,150.0,1.0,-18,0.00011363314278185948,19.891721918786743
fixed-00000002,150.0,1.0,-17,0.00015380239195051732,19.32728860142933
fixed-00000002,150.0,1.0,-16,0.00019513885916960536,18.74653592772742
fixed-00000002,150.0,1.0,-15,0.00015711206591922767,18.147895381206368
fixed-00000002,150.0,1.0,-14,0.0002343541518093811,17.529532494186512
fixed-00000002,150.0,1.0,-13,0.00029950156212159843,16.889279144628944
fixed-00000002,150.0,1.0,-12,0.0002660444313691517,16.224541946816103
fixed-00000002,150.0,1.0,-11,0.0004086168218272977,15.532175532332047
fixed-00000002,150.0,1.0,-10,0.0005297905254918536,14.808302728188039
fixed-00000002,150.0,1.0,-9,0.0005459378241764852,14.048051607021762
fixed-00000002,150.0,1.0,-8,0.0006814529842714129,13.245156988362638
fixed-00000002,150.0,1.0,-7,0.0010005267667473506,12.3913297567059
fixed-00000002,150.0,1.0,-6,0.0012503669475270554,11.47520357492894
fixed-00000002,150.0,1.0,-5,0.0008013949534791425,10.480450869119537
fixed-00000002,150.0,1.0,-4,0.003474771942446668,9.382091896469547
fixed-00000002,150.0,1.0,-3,0.0030792725508586236,8.138281537089384
fixed-00000002,150.0,1.0,-2,0.004055599655225868,6.668112195698512
fixed-00000002,150.0,1.0,-1,0.05319317519824942,4.766536061449884
fixed-00000002,150.0,1.0,0,0.8480757443481047,0.9999999999999005
fixed-00000002,150.0,1.0,1,0.0,0.0
fixed-00000002,150.0,1.0,2,0.0,0.0
fixed-00000002,150.0,1.0,3,0.0,0.0
fixed-00000002,150.0,1.0,4,0.0,0.0
fixed-00000002,150.0,1.0,5,0.0,0.0
fixed-00000002,150.0,1.0,6,0.0,0.0
fixed-00000002,150.0,1.0,7,0.0,0.0
fixed-00000002,150.0,1.0,8,0.0,0.0
fixed-00000002,150.0,1.0,9,0.0,0.0
fixed-00000002,150.0,1.0,10,0.0,0.0
fixed-00000002,150.0,1.0,11,0.0,0.0
fixed-00000002,150.0,1.0,12,0.0,0.0
fixed-00000002,150.0,1.0,13,0.0,0.0
fixed-00000002,150.0,1.0,14,0.0,0.0
fixed-00000002,150.0,1.0,15,0.0,0.0
fixed-00000002,150.0,1.0,16,0.0,0.0
fixed-00000002,150.0,1.0,17,0.0,0.0
fixed-00000002,150.0,1.0,18,0.0,0.0
fixed-00000002,150.0,1.0,19,0.0,0.0
fixed-00000002,150.0,1.0,20,0.0,0.0
fixed-00000001,100.0,1.0,-20,0.0002874537778876284,25.75455539976224
fixed-00000001,100.0,1.0,-19,0.0002598692407713464,25.092692345474617
fixed-00000001,100.0,1.0,-18,0.0001590334773495321,24.41408289662344
fixed-00000001,100.0,1.0,-17,0.00023077838350224104,23.71728455090644
fixed-00000001,100.0,1.0,-16,0.000253057821766844,23.00063908061179
fixed-00000001,100.0,1.0,-15,0.00018946145410534632,22.262224525633528
fixed-00000001,100.0,1.0,-14,0.0002693228322626304,21.49979251955007
fixed-00000001,100.0,1.0,-13,0.0002764197746779961,20.710685071056957
fixed-00000001,100.0,1.0,-12,0.00027446748653029633,19.891721918786743
fixed-00000001,100.0,1.0,-11,0.0003046694251867708,19.039044648764516
fixed-00000001,100.0,1.0,-10,0.0003599960256048948,18.147895381206368
fixed-00000001,100.0,1.0,-9,0.00046234981924565555,17.212292967831786
fixed-00000001,100.0,1.0,-8,0.0003000814336199863,16.224541946816103
fixed-00000001,100.0,1.0,-7,0.0007367495261274951,15.174454773733487
fixed-00000001,100.0,1.0,-6,0.00083667111651601,14.048051607021762
fixed-00000001,100.0,1.0,-5,0.00032787481350571605,12.825231674657005
fixed-00000001,100.0,1.0,-4,0.002671816353767171,11.47520357492894
fixed-00000001,100.0,1.0,-3,0.001581710557053278,9.946291914593857
fixed-00000001,100.0,1.0,-2,0.00328527311665633,8.138281537089384
fixed-00000001,100.0,1.0,-1,0.03173001697414957,5.795583718663309
fixed-00000001,100.0,1.0,0,0.9113485833453209,0.9999999999999005
fixed-00000001,100.0,1.0,1,0.0,0.0
fixed-00000001,100.0,1.0,2,0.0,0.0
fixed-00000001,100.0,1.0,3,0.0,0.0
fixed-00000001,100.0,1.0,4,0.0,0.0
fixed-00000001,100.0,1.0,5,0.0,0.0
fixed-00000001,100.0,1.0,6,0.0,0.0
fixed-00000001,100.0,1.0,7,0.0,0.0
fixed-00000001,100.0,1.0,8,0.0,0.0
fixed-00000001,100.0,1.0,9,0.0,0.0
fixed-00000001,100.0,1.0,10,0.0,0.0
fixed-00000001,100.0,1.0,11,0.0,0.0
fixed-00000001,100.0,1.0,12,0.0,0.0
fixed-00000001,100.0,1.0,13,0.0,0.0
fixed-00000001,100.0,1.0,14,0.0,0.0
fixed-00000001,100.0,1.0,15,0.0,0.0
fixed-00000001,100.0,1.0,16,0.0,0.0
fixed-00000001,100.0,1.0,17,0.0,0.0
fixed-00000001,100.0,1.0,18,0.0,0.0
fixed-00000001,100.0,1.0,19,0.0,0.0
fixed-00000001,100.0,1.0,20,0.0,0.0
fixed-00000003,200.0,1.0,-20,9.970350661255871e-05,18.147895381206368
fixed-00000003,200.0,1.0,-19,0.00010581017032338568,17.68608429287241
fixed-00000003,200.0,1.0,-18,8.288354087945803e-05,17.212292967831786
fixed-00000003,200.0,1.0,-17,0.00011366795764123941,16.725502480220555
fixed-00000003,200.0,1.0,-16,0.00014441713988911625,16.224541946816103
fixed-00000003,200.0,1.0,-15,0.00011124993097177835,15.708054798730387
fixed-00000003,200.0,1.0,-14,0.00017052506373074902,15.174454773733487
fixed-00000003,200.0,1.0,-13,0.0002193656900262258,14.62186751998344
fixed-00000003,200.0,1.0,-12,0.00017357832902947285,14.048051607021762
fixed-00000003,200.0,1.0,-11,0.0002861584229441317,13.450289306669404
fixed-00000003,200.0,1.0,-10,0.0003657067907258493,12.825231674657005
fixed-00000003,200.0,1.0,-9,0.0003396740163599994,12.168672136576347
fixed-00000003,200.0,1.0,-8,0.000509679409818486,11.47520357492894
fixed-00000003,200.0,1.0,-7,0.0007493313723088158,10.73767603484525
fixed-00000003,200.0,1.0,-6,0.0008934693785273399,9.946291914593857
fixed-00000003,200.0,1.0,-5,0.0008429703203491422,9.08698951744077
fixed-00000003,200.0,1.0,-4,0.002902638665684768,8.138281537089384
fixed-00000003,200.0,1.0,-3,0.0030803356356070657,7.064236648516598
fixed-00000003,200.0,1.0,-2,0.0038870508798537003,5.795583718663309
fixed-00000003,200.0,1.0,-1,0.062137043691718255,4.157842361919549
fixed-00000003,200.0,1.0,0,0.73219559574625,0.9999999999999005
fixed-00000003,200.0,1.0,1,0.0,0.0
fixed-00000003,200.0,1.0,2,0.0,0.0
fixed-00000003,200.0,1.0,3,0.0,0.0
fixed-00000003,200.0,1.0,4,0.0,0.0
fixed-00000003,200.0,1.0,5,0.0,0.0
fixed-00000003,200.0,1.0,6,0.0,0.0
fixed-00000003,200.0,1.0,7,0.0,0.0
fixed-00000003,200.0,1.0,8,0.0,0.0
fixed-00000003,200.0,1.0,9,0.0,0.0
fixed-00000003,200.0,1.0,10,0.0,0.0
fixed-00000003,200.0,1.0,11,0.0,0.0
fixed-00000003,200.0,1.0,12,0.0,0.0
fixed-00000003,200.0,1.0,13,0.0,0.0
fixed-00000003,200.0,1.0,14,0.0,0.0
fixed-00000003,200.0,1.0,15,0.0,0.0
fixed-00000003,200.0,1.0,16,0.0,0.0
fixed-00000003,200.0,1.0,17,0.0,0.0
fixed-00000003,200.0,1.0,18,0.0,0.0
fixed-00000003,200.0,1.0,19,0.0,0.0
fixed-00000003,200.0,1.0,20,0.0,0.0
fixed-00000004,250.0,1.0,-20,0.00013877465714730306,16.224541946816103
fixed-00000004,250.0,1.0,-19,0.00013445058764024952,15.812666770424045
fixed-00000004,250.0,1.0,-18,0.00011112648709159626,15.39006102882584
fixed-00000004,250.0,1.0,-17,0.00014480797228779026,14.955814631227568
fixed-00000004,250.0,1.0,-16,0.00018519793756325501,14.508881918732442
fixed-00000004,250.0,1.0,-15,0.00014367585835596262,14.04805160702179
fixed-00000004,250.0,1.0,-14,0.00021333121995687867,13.571907578684105
fixed-00000004,250.0,1.0,-13,0.00028660144324856734,13.078776871562113
fixed-00000004,250.0,1.0,-12,0.00021124669481341747,12.566659349146164
fixed-00000004,250.0,1.0,-11,0.0003649383213479351,12.033130491838932
fixed-00000004,250.0,1.0,-10,0.0004740029898844866,11.47520357492894
fixed-00000004,250.0,1.0,-9,0.00038621351734984975,10.889128344940588
fixed-00000004,250.0,1.0,-8,0.0006814070322577657,10.270086295017776
fixed-00000004,250.0,1.0,-7,0.0008899484111966467,9.61170912478832
fixed-00000004,250.0,1.0,-6,0.0010264596110513594,8.90527605162471
fixed-00000004,250.0,1.0,-5,0.0011875638737737714,8.138281537089412
fixed-00000004,250.0,1.0,-4,0.0031385654739727493,7.291638560744261
fixed-00000004,250.0,1.0,-3,0.004033099305162065,6.333484609522728
fixed-00000004,250.0,1.0,-2,0.004114532371926493,5.202568190854237
fixed-00000004,250.0,1.0,-1,0.07866397831393336,3.7455366221714144
fixed-00000004,250.0,1.0,0,0.6649438211160851,0.9999999999999005
fixed-00000004,250.0,1.0,1,0.0,0.0
fixed-00000004,250.0,1.0,2,0.0,0.0
fixed-00000004,250.0,1.0,3,0.0,0.0
fixed-00000004,250.0,1.0,4,0.0,0.0
fixed-00000004,250.0,1.0,5,0.0,0.0
fixed-00000004,250.0,1.0,6,0.0,0.0
fixed-00000004,250.0,1.0,7,0.0,0.0
fixed-00000004,250.0,1.0,8,0.0,0.0
fixed-00000004,250.0,1.0,9,0.0,0.0
fixed-00000004,250.0,1.0,10,0.0,0.0
fixed-00000004,250.0,1.0,11,0.0,0.0
fixed-00000004,250.0,1.0,12,0.0,0.0
fixed-00000004,250.0,1.0,13,0.0,0.0
fixed-00000004,250.0,1.0,14,0.0,0.0
fixed-00000004,250.0,1.0,15,0.0,0.0
fixed-00000004,250.0,1.0,16,0.0,0.0
fixed-00000004,250.0,1.0,17,0.0,0.0
fixed-00000004,250.0,1.0,18,0.0,0.0
fixed-00000004,250.0,1.0,19,0.0,0.0
fixed-00000004,250.0,1.0,20,0.0,0.0
fixed-00000005,300.0,1.0,-20,0.00018311600229058028,14.808302728188039
fixed-00000005,300.0,1.0,-19,0.00016199374874830878,14.433077444887786
fixed-00000005,300.0,1.0,-18,0.0001401503901788498,14.048051607021762
fixed-00000005,300.0,1.0,-17,0.00018292514320908908,13.652395750554817
fixed-00000005,300.0,1.0,-16,0.00022273552317154287,13.245156988362638
fixed-00000005,300.0,1.0,-15,0.00018517999990596277,12.825231674657076
fixed-00000005,300.0,1.0,-14,0.0002615315380306793,12.3913297567059
fixed-00000005,300.0,1.0,-13,0.0003593912106206157,11.941927498491978
fixed-00000005,300.0,1.0,-12,0.00026780067153193114,11.47520357492894
fixed-00000005,300.0,1.0,-11,0.00045260594525975737,10.988950774999566
fixed-00000005,300.0,1.0,-10,0.0006230973717072353,10.480450869119537
fixed-00000005,300.0,1.0,-9,0.0004588414581096314,9.946291914593942
fixed-00000005,300.0,1.0,-8,0.0009031326926848364,9.382091896469547
fixed-00000005,300.0,1.0,-7,0.0011500301085334166,8.782062336109831
fixed-00000005,300.0,1.0,-6,0.0011816304494475204,8.138281537089384
fixed-00000005,300.0,1.0,-5,0.001753369269605363,7.439399360019209
fixed-00000005,300.0,1.0,-4,0.003488653690056905,6.668112195698512
fixed-00000005,300.0,1.0,-3,0.005192769561005595,5.795583718663437
fixed-00000005,300.0,1.0,-2,0.004544941513176218,4.766536061449884
fixed-00000005,300.0,1.0,-1,0.09672359161372149,3.443390546684313
fixed-00000005,300.0,1.0,0,0.6126942125483115,0.9999999999999005
fixed-00000005,300.0,1.0,1,0.0,0.0
fixed-00000005,300.0,1.0,2,0.0,0.0
fixed-00000005,300.0,1.0,3,0.0,0.0
fixed-00000005,300.0,1.0,4,0.0,0.0
fixed-00000005,300.0,1.0,5,0.0,0.0
fixed-00000005,300.0,1.0,6,0.0,0.0
fixed-00000005,300.0,1.0,7,0.0,0.0
fixed-00000005,300.0,1.0,8,0.0,0.0
fixed-00000005,300.0,1.0,9,0.0,0.0
fixed-00000005,300.0,1.0,10,0.0,0.0
fixed-00000005,300.0,1.0,11,0.0,0.0
fixed-00000005,300.0,1.0,12,0.0,0.0
fixed-00000005,300.0,1.0,13,0.0,0.0
fixed-00000005,300.0,1.0,14,0.0,0.0
fixed-00000005,300.0,1.0,15,0.0,0.0
fixed-00000005,300.0,1.0,16,0.0,0.0
fixed-00000005,300.0,1.0,17,0.0,0.0
fixed-00000005,300.0,1.0,18,0.0,0.0
fixed-00000005,300.0,1.0,19,0.0,0.0
fixed-00000005,300.0,1.0,20,0.0,0.0
fixed-00000006,350.0,1.0,-20,0.00023511517565464238,13.70960345853814
fixed-00000006,350.0,1.0,-19,0.00019494541175018844,13.362754051778325
fixed-00000006,350.0,1.0,-18,0.000171469339257235,13.00683110386629
fixed-00000006,350.0,1.0,-17,0.0002320807057011655,12.641068008104696
fixed-00000006,350.0,1.0,-16,0.0002629604777089489,12.264584206873764
fixed-00000006,350.0,1.0,-15,0.00023580609432139843,11.876359980061153
fixed-00000006,350.0,1.0,-14,0.0003220065915306291,11.475203574928969
fixed-00000006,350.0,1.0,-13,0.0004356226325021601,11.059707626431845
fixed-00000006,350.0,1.0,-12,0.0003459744938625128,10.62819026730972
fixed-00000006,350.0,1.0,-11,0.0005461860932135613,10.17861379153652
fixed-00000006,350.0,1.0,-10,0.0007968221853281839,9.708469435091871
fixed-00000006,350.0,1.0,-9,0.0005606805481712464,9.214609239931832
fixed-00000006,350.0,1.0,-8,0.001134368591237318,8.692991870815689
fixed-00000006,350.0,1.0,-7,0.0015000866893237384,8.138281537089412
fixed-00000006,350.0,1.0,-6,0.0013310275423112693,7.5431806638187595
fixed-00000006,350.0,1.0,-5,0.0024477820448098866,6.897241990486336
fixed-00000006,350.0,1.0,-4,0.0039033906990860907,6.184556490979958
fixed-00000006,350.0,1.0,-3,0.006361495816099007,5.378656453875976
fixed-00000006,350.0,1.0,-2,0.005184876579387326,4.428945793077645
fixed-00000006,350.0,1.0,-1,0.11433846105301043,3.2102306386706374
fixed-00000006,350.0,1.0,0,0.565608081400141,1.0000000000002558
fixed-00000006,350.0,1.0,1,0.0,0.0
fixed-00000006,350.0,1.0,2,0.0,0.0
fixed-00000006,350.0,1.0,3,0.0,0.0
fixed-00000006,350.0,1.0,4,0.0,0.0
fixed-00000006,350.0,1.0,5,0.0,0.0
fixed-00000006,350.0,1.0,6,0.0,0.0
fixed-00000006,350.0,1.0,7,0.0,0.0
fixed-00000006,350.0,1.0,8,0.0,0.0
fixed-00000006,350.0,1.0,9,0.0,0.0
fixed-00000006,350.0,1.0,10,0.0,0.0
fixed-00000006,350.0,1.0,11,0.0,0.0
fixed-00000006,350.0,1.0,12,0.0,0.0
fixed-00000006,350.0,1.0,13,0.0,0.0
fixed-00000006,350.0,1.0,14,0.0,0.0
fixed-00000006,350.0,1.0,15,0.0,0.0
fixed-00000006,350.0,1.0,16,0.0,0.0
fixed-00000006,350.0,1.0,17,0.0,0.0
fixed-00000006,350.0,1.0,18,0.0,0.0
fixed-00000006,350.0,1.0,19,0.0,0.0
fixed-00000006,350.0,1.0,20,0.0,0.0
fixed-00000007,400.0,1.0,-20,0.0002826719759356749,12.825231674657005
fixed-00000007,400.0,1.0,-19,0.00023177322880247296,12.5011943484392
fixed-00000007,400.0,1.0,-18,0.0002008494532575538,12.168672136576347
fixed-00000007,400.0,1.0,-17,0.000289929274191687,11.826949241502433
fixed-00000007,400.0,1.0,-16,0.0003067888756888436,11.47520357492894
fixed-00000007,400.0,1.0,-15,0.000290947165853051,11.112483265041845
fixed-00000007,400.0,1.0,-14,0.00040358701641576334,10.73767603484525
fixed-00000007,400.0,1.0,-13,0.0005148459540223838,10.349468614901113
fixed-00000007,400.0,1.0,-12,0.0004497714499512697,9.946291914593857
fixed-00000007,400.0,1.0,-11,0.0006672402517872594,9.526245322430412
fixed-00000007,400.0,1.0,-10,0.0009945928211315396,9.08698951744077
fixed-00000007,400.0,1.0,-9,0.0007235231352390008,8.625590130387735
fixed-00000007,400.0,1.0,-8,0.0013986485883601026,8.138281537089384
fixed-00000007,400.0,1.0,-7,0.0019839747158612183,7.620094418422823
fixed-00000007,400.0,1.0,-6,0.0015353036136385079,7.064236648516598
fixed-00000007,400.0,1.0,-5,0.0033322760162444267,6.46099252797751
fixed-00000007,400.0,1.0,-4,0.004566381622560916,5.795583718663309
fixed-00000007,400.0,1.0,-3,0.0075965466163695665,5.043464547841566
fixed-00000007,400.0,1.0,-2,0.006347969983367534,4.157842361919549
fixed-00000007,400.0,1.0,-1,0.13203908378298854,3.0235976374505924
fixed-00000007,400.0,1.0,0,0.5258693276646569,0.9999999999999005
fixed-00000007,400.0,1.0,1,0.0,0.0
fixed-00000007,400.0,1.0,2,0.0,0.0
fixed-00000007,400.0,1.0,3,0.0,0.0
fixed-00000007,400.0,1.0,4,0.0,0.0
fixed-00000007,400.0,1.0,5,0.0,0.0
fixed-00000007,400.0,1.0,6,0.0,0.0
fixed-00000007,400.0,1.0,7,0.0,0.0
fixed-00000007,400.0,1.0,8,0.0,0.0
fixed-00000007,400.0,1.0,9,0.0,0.0
fixed-00000007,400.0,1.0,10,0.0,0.0
fixed-00000007,400.0,1.0,11,0.0,0.0
fixed-00000007,400.0,1.0,12,0.0,0.0
fixed-00000007,400.0,1.0,13,0.0,0.0
fixed-00000007,400.0,1.0,14,0.0,0.0
fixed-00000007,400.0,1.0,15,0.0,0.0
fixed-00000007,400.0,1.0,16,0.0,0.0
fixed-00000007,400.0,1.0,17,0.0,0.0
fixed-00000007,400.0,1.0,18,0.0,0.0
fixed-00000007,400.0,1.0,19,0.0,0.0
fixed-00000007,400.0,1.0,20,0.0,0.0
fixed-00000008,450.0,1.0,-20,0.0002915053259412481,12.093555972827815
fixed-00000008,450.0,1.0,-19,0.0002448577469005753,11.788377532697865
fixed-00000008,450.0,1.0,-18,0.00020867655961253552,11.475203574928997
fixed-00000008,450.0,1.0,-17,0.00031995126934944,11.15336049625634
fixed-00000008,450.0,1.0,-16,0.00032542553417454076,10.822074767373266
fixed-00000008,450.0,1.0,-15,0.00031752438163142494,10.480450869119537
fixed-00000008,450.0,1.0,-14,0.00046254334260178304,10.127442540522438
fixed-00000008,450.0,1.0,-13,0.0005525425594589346,9.761814680303885
fixed-00000008,450.0,1.0,-12,0.0005248472382348654,9.382091896469547
fixed-00000008,450.0,1.0,-11,0.0007642976458946066,8.986487496754833
fixed-00000008,450.0,1.0,-10,0.001120921636669167,8.572802983664758
fixed-00000008,450.0,1.0,-9,0.0008814852817243424,8.138281537089412
fixed-00000008,450.0,1.0,-8,0.0015983951800676258,7.679386778529235
fixed-00000008,450.0,1.0,-7,0.0024251695184786264,7.191454190661915
fixed-00000008,450.0,1.0,-6,0.0017257702595346528,6.668112195698555
fixed-00000008,450.0,1.0,-5,0.004157395544302014,6.100254057233457
fixed-00000008,450.0,1.0,-4,0.005326386253235439,5.474043198523489
fixed-00000008,450.0,1.0,-3,0.008507881579258879,4.766536061449884
fixed-00000008,450.0,1.0,-2,0.007990914597818642,3.934113428042167
fixed-00000008,450.0,1.0,-1,0.14607511383007665,2.870068623907983
fixed-00000008,450.0,1.0,0,0.48577479077841074,1.0000000000002558
fixed-00000008,450.0,1.0,1,0.0,0.0
fixed-00000008,450.0,1.0,2,0.0,0.0
fixed-00000008,450.0,1.0,3,0.0,0.0
fixed-00000008,450.0,1.0,4,0.0,0.0
fixed-00000008,450.0,1.0,5,0.0,0.0
fixed-00000008,450.0,1.0,6,0.0,0.0
fixed-00000008,450.0,1.0,7,0.0,0.0
fixed-00000008,450.0,1.0,8,0.0,0.0
fixed-00000008,450.0,1.0,9,0.0,0.0
fixed-00000008,450.0,1.0,10,0.0,0.0
fixed-00000008,450.0,1.0,11,0.0,0.0
fixed-00000008,450.0,1.0,12,0.0,0.0
fixed-00000008,450.0,1.0,13,0.0,0.0
fixed-00000008,450.0,1.0,14,0.0,0.0
fixed-00000008,450.0,1.0,15,0.0,0.0
fixed-00000008,450.0,1.0,16,0.0,0.0
fixed-00000008,450.0,1.0,17,0.0,0.0
fixed-00000008,450.0,1.0,18,0.0,0.0
fixed-00000008,450.0,1.0,19,0.0,0.0
fixed-00000008,450.0,1.0,20,0.0,0.0
fixed-00000009,500.0,1.0,-20,0.0002777283747051406,11.47520357492894
fixed-00000009,500.0,1.0,-19,0.00024137578466574167,11.185956085815334
fixed-00000009,500.0,1.0,-18,0.00020513257778217916,10.889128344940588
fixed-00000009,500.0,1.0,-17,0.0003285737623041672,10.584082530518359
fixed-00000009,500.0,1.0,-16,0.0003286668469875563,10.270086295017776
fixed-00000009,500.0,1.0,-15,0.0003254620121372655,9.946291914593857
fixed-00000009,500.0,1.0,-14,0.0005027270693941653,9.61170912478832
fixed-00000009,500.0,1.0,-13,0.0005670560003916346,9.265169135753638
fixed-00000009,500.0,1.0,-12,0.0005760017231502033,8.90527605162471
fixed-00000009,500.0,1.0,-11,0.0008511074405667183,8.530339845979128
fixed-00000009,500.0,1.0,-10,0.0011974360965674989,8.138281537089412
fixed-00000009,500.0,1.0,-9,0.0010373622731103091,7.726495019799344
fixed-00000009,500.0,1.0,-8,0.0017721724595566655,7.291638560744261
fixed-00000009,500.0,1.0,-7,0.0028210943653869795,6.8293065151785015
fixed-00000009,500.0,1.0,-6,0.0019537389559063935,6.333484609522728
fixed-00000009,500.0,1.0,-5,0.004922973724948604,5.79558371866338
fixed-00000009,500.0,1.0,-4,0.00625315194150089,5.202568190854237
fixed-00000009,500.0,1.0,-3,0.009201155214471488,4.532857928715643
fixed-00000009,500.0,1.0,-2,0.010198981951651278,3.7455366221714144
fixed-00000009,500.0,1.0,-1,0.15725360903383226,2.7410663663429062
fixed-00000009,500.0,1.0,0,0.4479462337429818,0.9999999999999005
fixed-00000009,500.0,1.0,1,0.0,0.0
fixed-00000009,500.0,1.0,2,0.0,0.0
fixed-00000009,500.0,1.0,3,0.0,0.0
fixed-00000009,500.0,1.0,4,0.0,0.0
fixed-00000009,500.0,1.0,5,0.0,0.0
fixed-00000009,500.0,1.0,6,0.0,0.0
fixed-00000009,500.0,1.0,7,0.0,0.0
fixed-00000009,500.0,1.0,8,0.0,0.0
fixed-00000009,500.0,1.0,9,0.0,0.0
fixed-00000009,500.0,1.0,10,0.0,0.0
fixed-00000009,500.0,1.0,11,0.0,0.0
fixed-00000009,500.0,1.0,12,0.0,0.0
fixed-00000009,500.0,1.0,13,0.0,0.0
fixed-00000009,500.0,1.0,14,0.0,0.0
fixed-00000009,500.0,1.0,15,0.0,0.0
fixed-00000009,500.0,1.0,16,0.0,0.0
fixed-00000009,500.0,1.0,17,0.0,0.0
fixed-00000009,500.0,1.0,18,0.0,0.0
fixed-00000009,500.0,1.0,19,0.0,0.0
fixed-00000009,500.0,1.0,20,0.0,0.0
fixed-00000010,550.0,1.0,-20,0.00027984949258393993,10.943688444066808
fixed-00000010,550.0,1.0,-19,0.0002506487767787863,10.668131772290067
fixed-00000010,550.0,1.0,-18,0.00021401539818288328,10.38535307302871
fixed-00000010,550.0,1.0,-17,0.00034964589050256534,10.094745379190144
fixed-00000010,550.0,1.0,-16,0.00035083108182467395,9.795611857277493
fixed-00000010,550.0,1.0,-15,0.0003473505971667058,9.487146004258037
fixed-00000010,550.0,1.0,-14,0.0005639528404922004,9.168405854160596
fixed-00000010,550.0,1.0,-13,0.0006093377090406044,8.83827981874039
fixed-00000010,550.0,1.0,-12,0.0006479589692670495,8.495440585708593
fixed-00000010,550.0,1.0,-11,0.0009783713450660697,8.138281537089327
fixed-00000010,550.0,1.0,-10,0.001305378196738429,7.764826833112082
fixed-00000010,550.0,1.0,-9,0.0012406464262370814,7.3726004611447
fixed-00000010,550.0,1.0,-8,0.0019867090848074685,6.958428738824992
fixed-00000010,550.0,1.0,-7,0.0032612937062794062,6.518129586978731
fixed-00000010,550.0,1.0,-6,0.0022619491248319825,6.045997408429116
fixed-00000010,550.0,1.0,-5,0.005666635495125447,5.533890428088924
fixed-00000010,550.0,1.0,-4,0.007380781172596695,4.969465549007921
fixed-00000010,550.0,1.0,-3,0.009780544977666648,4.332322366851486
fixed-00000010,550.0,1.0,-2,0.01289837179898238,3.5838847252344834
fixed-00000010,550.0,1.0,-1,0.1668637075292835,2.630822011397143
fixed-00000010,550.0,1.0,0,0.41346292155872416,0.9999999999999005
fixed-00000010,550.0,1.0,1,0.0,0.0
fixed-00000010,550.0,1.0,2,0.0,0.0
fixed-00000010,550.0,1.0,3,0.0,0.0
fixed-00000010,550.0,1.0,4,0.0,0.0
fixed-00000010,550.0,1.0,5,0.0,0.0
fixed-00000010,550.0,1.0,6,0.0,0.0
fixed-00000010,550.0,1.0,7,0.0,0.0
fixed-00000010,550.0,1.0,8,0.0,0.0
fixed-00000010,550.0,1.0,9,0.0,0.0
